Metadata_platename,Metadata_platenum,Metadata_well,Count_Nuclei,hc_Count_Nuclei_normalized,hc_Count_Nuclei_z_score,Row,Col,Compound Plate #,Chemical.Name,Treatments,Positive.control
MRMTRP1uM03,12387,O23,1,252.039,-1.327,O,23,3,Terbutaline hemisulfate,DRUG,no
MRMTRP10,12300,E20,1,235.906,-1.449,E,20,10,BCC0034103,DRUG,no
MRMTRP16,12311,M16,1,231.461,-1.482,M,16,16,BCC0056303,DRUG,no
MRMTRP10uM05,12392,M18,1,213.594,-1.617,M,18,5,Mephenytoin,DRUG,no
MRMTRP10uM04,12390,K16,1,200.328,-1.718,K,16,4,Alexidine dihydrochloride,DRUG,yes
MRMTRP34,12331,E22,1,199.602,-1.723,E,22,34,BCC0112989,DRUG,no
MRMTRP10uM05,12392,L14,1,173.547,-1.92,L,14,5,Flumethasone pivalate,DRUG,no
MRMTRP18,12312,K20,1,167.969,-1.962,K,20,18,BCC0046370,DRUG,no
MRMTRP13,12303,P20,1,148.961,-2.106,P,20,13,BCC0092142,DRUG,no
MRMTRP18,12312,M18,1,140.055,-2.174,M,18,18,BCC0033053,DRUG,no
MRMTRP36,12333,M23,1,124.188,-2.294,M,23,36,BCC0056648,DRUG,no
MRMTRP33,12330,L11,1,123.734,-2.297,L,11,33,BCC0045285,DRUG,no
MRMTRP34,12331,H08,1,121.57,-2.313,H,8,34,BCC0095987,DRUG,no
MRMTRP10uM05,12392,M12,1,121.086,-2.317,M,12,5,Verteporfin,DRUG,no
MRMTRP34,12331,K18,1,98.836,-2.485,K,18,34,BCC0057054,DRUG,no
MRMTRP30,12327,D07,1,98.313,-2.489,D,7,30,BCC0110784,DRUG,no
MRMTRP1uM05,12391,M17,1,53.672,-2.827,M,17,5,Benzathine benzylpenicillin,DRUG,no
MRMTRP19,12313,B20,1,47.977,-2.87,B,20,19,BCC0053447,DRUG,no
MRMTRP38,12335,J16,1,38.305,-2.943,J,16,38,BCC0053690,DRUG,no
MRMTRP36,12333,G09,1,36.195,-2.959,G,9,36,BCC0081282,DRUG,no
MRMTRP24,12399,J11,1,25.234,-3.042,J,11,24,BCC0059587,DRUG,no
MRMTRP10uM02,12386,M10,1,22.977,-3.059,M,10,2,Loperamide hydrochloride,DRUG,no
MRMTRP11,12301,F05,1,18.883,-3.09,F,5,11,BCC0030202,DRUG,no
MRMTRP10,12300,E07,1,-14.25,-3.341,E,7,10,BCC0091335,DRUG,no
MRMTRP08,12298,N22,1,-20.508,-3.388,N,22,8,BCC0079365,DRUG,no
MRMTRP43,12382,K15,1,-43.203,-3.56,K,15,43,BCC0036294,DRUG,no
MRMTRP19,12313,K15,1,-51.102,-3.619,K,15,19,BCC0103668,DRUG,no
MRMTRP10uM05,12392,G11,1,-75.742,-3.806,G,11,5,Fluvoxamine maleate,DRUG,no
MRMTRP10uM05,12392,J05,1,-98.914,-3.981,J,5,5,Cyclophosphamide,DRUG,no
MRMTRP10uM03,12388,M09,1,-102.625,-4.009,M,9,3,Probucol,DRUG,no
MRMTRP14,12397,K05,1,-123.234,-4.165,K,5,14,BCC0037993,DRUG,no
MRMTRP1uM01,12383,F13,1,-141.445,-4.303,F,13,1,BIX-01294,DRUG,no
MRMTRP27,12320,M06,1,-163.258,-4.468,M,6,27,BCC0094116,DRUG,no
MRMTRP1uM05,12391,P07,1,-168.32,-4.506,P,7,5,Formoterol fumarate,DRUG,no
MRMTRP10uM05,12392,P07,1,-181.336,-4.604,P,7,5,Formoterol fumarate,DRUG,no
MRMTRP17,12398,G08,1,-235.172,-5.011,G,8,17,BCC0058010,DRUG,no
MRMTRP10uM04,12390,O06,1,-239.305,-5.043,O,6,4,Propidium iodide,DRUG,no
MRMTRP17,12398,I08,1,-261.047,-5.207,I,8,17,BCC0052138,DRUG,no
MRMTRP08,12298,M14,1,-262.164,-5.216,M,14,8,BCC0080780,DRUG,no
MRMTRP10uM01,12384,C13,1,-305.625,-5.544,C,13,1,MG-132,DRUG,no
MRMTRP12,12302,O11,1,-318.844,-5.644,O,11,12,BCC0033418,DRUG,no
MRMTRP41,12401,F23,1.5,426.945,-0.004,F,23,41,BCC0046918,DRUG,no
MRMTRP33,12330,F24,1.5,421.164,-0.048,F,24,33,BCC0034199,DRUG,no
MRMTRP1uM02,12385,H21,1.5,364.172,-0.479,H,21,2,"Camptothecine (S,+)",DRUG,no
MRMTRP13,12303,L16,1.5,352.32,-0.568,L,16,13,BCC0032192,DRUG,no
MRMTRP1uM01,12383,G23,1.5,289.609,-1.043,G,23,1,Acivicin,DRUG,yes
MRMTRP1uM03,12387,D10,1.5,287.273,-1.06,D,10,3,Dacarbazine,DRUG,no
MRMTRP30,12327,K22,1.5,281.445,-1.104,K,22,30,BCC0052150,DRUG,no
MRMTRP24,12399,K24,1.5,241.469,-1.407,K,24,24,BCC0072150,DRUG,no
MRMTRP30,12327,K16,1.5,233.492,-1.467,K,16,30,BCC0059746,DRUG,no
MRMTRP10uM01,12384,F23,1.5,231.25,-1.484,F,23,1,Suramin·6Na,DRUG,no
MRMTRP33,12330,G21,1.5,220.656,-1.564,G,21,33,BCC0032479,DRUG,no
MRMTRP10uM04,12390,M16,1.5,211.266,-1.635,M,16,4,Merbromin,DRUG,no
MRMTRP16,12311,C18,1.5,199.852,-1.721,C,18,16,BCC0067916,DRUG,no
MRMTRP23,12317,L16,1.5,192,-1.781,L,16,23,BCC0104742,DRUG,no
MRMTRP30,12327,I13,1.5,160.328,-2.02,I,13,30,BCC0060958,DRUG,no
MRMTRP10uM04,12390,J12,1.5,139.953,-2.174,J,12,4,Thonzonium bromide,DRUG,no
MRMTRP34,12331,G17,1.5,114.25,-2.369,G,17,34,BCC0091672,DRUG,no
MRMTRP10uM05,12392,M17,1.5,86.242,-2.581,M,17,5,Benzathine benzylpenicillin,DRUG,no
MRMTRP1uM01,12383,G20,1.5,86.219,-2.581,G,20,1,D-erythro-Sphingosine,DRUG,no
MRMTRP32,12329,E19,1.5,75.688,-2.66,E,19,32,BCC0077127,DRUG,no
MRMTRP15,12304,A24,1.5,68.93,-2.711,A,24,15,BCC0036747,DRUG,no
MRMTRP41,12401,M15,1.5,33.805,-2.977,M,15,41,BCC0072968,DRUG,no
MRMTRP43,12382,N19,1.5,15.531,-3.115,N,19,43,BCC0037337,DRUG,no
MRMTRP1uM02,12385,M08,1.5,-24.531,-3.418,M,8,2,Chlorhexidine,DRUG,no
MRMTRP10uM04,12390,B17,1.5,-48.461,-3.599,B,17,4,Furazolidone,DRUG,no
MRMTRP13,12303,G14,1.5,-102.195,-4.006,G,14,13,BCC0048516,DRUG,no
MRMTRP26,12319,E05,1.5,-108.266,-4.052,E,5,26,BCC0087161,DRUG,no
MRMTRP1uM05,12391,D05,1.5,-118.805,-4.131,D,5,5,Melengestrol acetate,DRUG,no
MRMTRP15,12304,L05,1.5,-121.555,-4.152,L,5,15,BCC0051465,DRUG,no
MRMTRP25,12318,M13,1.5,-201.344,-4.756,M,13,25,BCC0033394,DRUG,no
MRMTRP06,12296,F13,1.5,-216.781,-4.872,F,13,6,BCC0057934,DRUG,no
MRMTRP08,12298,J05,1.5,-280.414,-5.354,J,5,8,BCC0098994,DRUG,no
MRMTRP15,12304,M07,1.5,-323.906,-5.682,M,7,15,BCC0032768,DRUG,no
MRMTRP1uM02,12385,C16,1.5,-326.688,-5.704,C,16,2,Disulfiram,DRUG,no
MRMTRP08,12298,L05,1.5,-339.539,-5.801,L,5,8,BCC0048922,DRUG,no
MRMTRP12,12302,O23,1.5,-351.109,-5.888,O,23,12,BCC0093467,DRUG,no
MRMTRP42,12381,D09,1.5,-369.43,-6.027,D,9,42,BCC0075690,DRUG,no
MRMTRP33,12330,F23,2,423.32,-0.031,F,23,33,BCC0106448,DRUG,no
MRMTRP1uM05,12391,N23,2,362.469,-0.491,N,23,5,Gatifloxacin,DRUG,no
MRMTRP41,12401,E24,2,342.258,-0.644,E,24,41,BCC0045041,DRUG,no
MRMTRP21,12315,F22,2,300.203,-0.962,F,22,21,,DRUG,no
MRMTRP13,12303,H14,2,221.023,-1.561,H,14,13,BCC0046772,DRUG,no
MRMTRP37,12334,J05,2,188.211,-1.809,J,5,37,BCC0031378,DRUG,no
MRMTRP23,12317,E24,2,146.008,-2.129,E,24,23,BCC0006290,DRUG,no
MRMTRP37,12334,O24,2,131.258,-2.24,O,24,37,BCC0092448,DRUG,no
MRMTRP34,12331,L19,2,119.813,-2.327,L,19,34,BCC0032683,DRUG,no
MRMTRP10uM02,12386,P20,2,114.711,-2.365,P,20,2,Clofilium tosylate,DRUG,no
MRMTRP10uM01,12384,E20,2,99.258,-2.482,E,20,1,PKC-412,DRUG,no
MRMTRP10uM05,12392,O14,2,77.844,-2.644,O,14,5,Dorzolamide hydrochloride,DRUG,no
MRMTRP15,12304,L18,2,76.984,-2.651,L,18,15,BCC0032045,DRUG,no
MRMTRP34,12331,E13,2,72.414,-2.685,E,13,34,BCC0071949,DRUG,no
MRMTRP16,12311,N15,2,37.891,-2.946,N,15,16,BCC0056617,DRUG,no
MRMTRP08,12298,G15,2,25.156,-3.043,G,15,8,BCC0055778,DRUG,no
MRMTRP35,12332,M13,2,17.5,-3.1,M,13,35,BCC0032589,DRUG,no
MRMTRP10,12300,I08,2,6.742,-3.182,I,8,10,BCC0030954,DRUG,no
MRMTRP23,12317,B23,2,-7.93,-3.293,B,23,23,BCC0071692,DRUG,no
MRMTRP31,12328,M12,2,-20.102,-3.385,M,12,31,BCC0034938,DRUG,no
MRMTRP10uM01,12384,F19,2,-38.148,-3.521,F,19,1,Oxamflatin,DRUG,no
MRMTRP16,12311,D05,2,-45.938,-3.58,D,5,16,BCC0039911,DRUG,no
MRMTRP1uM01,12383,G18,2,-47.93,-3.595,G,18,1,Ro 31-8220 mesylate,DRUG,no
MRMTRP14,12397,K06,2,-59.961,-3.686,K,6,14,BCC0039181,DRUG,no
MRMTRP1uM05,12391,G11,2,-62.883,-3.708,G,11,5,Fluvoxamine maleate,DRUG,no
MRMTRP39,12400,G16,2,-111.141,-4.073,G,16,39,BCC0035704,DRUG,no
MRMTRP15,12304,D18,2,-132.422,-4.234,D,18,15,BCC0006121,DRUG,no
MRMTRP1uM04,12389,A21,2,-161.43,-4.454,A,21,4,Pinaverium bromide,DRUG,no
MRMTRP11,12301,C18,2,-192.281,-4.687,C,18,11,BCC0031567,DRUG,no
MRMTRP21,12315,B17,2,-198.328,-4.733,B,17,21,,DRUG,no
MRMTRP10uM05,12392,D05,2,-198.602,-4.735,D,5,5,Melengestrol acetate,DRUG,no
MRMTRP13,12303,F07,2,-240.672,-5.053,F,7,13,BCC0006106,DRUG,no
MRMTRP13,12303,H05,2,-303.398,-5.527,H,5,13,BCC0038696,DRUG,no
MRMTRP13,12303,P11,2,-343.164,-5.828,P,11,13,BCC0049069,DRUG,no
MRMTRP1uM01,12383,B15,2,-349.508,-5.876,B,15,1,Scriptaid,DRUG,no
MRMTRP19,12313,A09,2,-351.414,-5.891,A,9,19,BCC0094960,DRUG,no
MRMTRP08,12298,O20,2,-400.047,-6.258,O,20,8,BCC0108130,DRUG,no
MRMTRP10uM01,12384,C11,2,-407.961,-6.318,C,11,1,Gliotoxin,DRUG,no
MRMTRP07,12297,J13,2,-421.422,-6.42,J,13,7,BCC0045953,DRUG,no
MRMTRP08,12298,E12,2,-498.68,-7.004,E,12,8,BCC0032283,DRUG,no
MRMTRP06,12296,M17,2,-520.023,-7.166,M,17,6,BCC0079793,DRUG,no
MRMTRP10uM02,12386,A06,2,-552.898,-7.414,A,6,2,Fulvestrant,DRUG,no
MRMTRP25,12318,P02,2.5,730.992,2.296,P,2,25,PAC,EtBr,no
MRMTRP1uM04,12389,N20,2.5,438.344,0.082,N,20,4,"(+,-)-Octopamine hydrochloride",DRUG,no
MRMTRP10uM03,12388,H24,2.5,378.398,-0.371,H,24,3,Emedastine,DRUG,no
MRMTRP15,12304,P22,2.5,372.773,-0.414,P,22,15,BCC0097082,DRUG,no
MRMTRP35,12332,P23,2.5,223.102,-1.545,P,23,35,BCC0052425,DRUG,no
MRMTRP10uM01,12384,O24,2.5,205.836,-1.676,O,24,1,Triciribine,DRUG,no
MRMTRP13,12303,F14,2.5,166.695,-1.972,F,14,13,BCC0047203,DRUG,no
MRMTRP40,12336,A15,2.5,151.352,-2.088,A,15,40,BCC0050390,DRUG,no
MRMTRP33,12330,N09,2.5,146.289,-2.126,N,9,33,BCC0046990,DRUG,no
MRMTRP08,12298,J15,2.5,119.547,-2.329,J,15,8,BCC0030393,DRUG,no
MRMTRP10uM02,12386,K18,2.5,108.523,-2.412,K,18,2,Terfenadine,DRUG,no
MRMTRP20,12314,K14,2.5,65.406,-2.738,K,14,20,BCC0047867,DRUG,no
MRMTRP35,12332,I07,2.5,57.266,-2.8,I,7,35,BCC0078187,DRUG,no
MRMTRP28,12321,L24,2.5,53.188,-2.831,L,24,28,BCC0029768,DRUG,no
MRMTRP15,12304,G05,2.5,23.602,-3.054,G,5,15,BCC0079898,DRUG,no
MRMTRP30,12327,O17,2.5,20.625,-3.077,O,17,30,BCC0054231,DRUG,no
MRMTRP29,12322,N21,2.5,19.641,-3.084,N,21,29,BCC0100320,DRUG,no
MRMTRP40,12336,A07,2.5,19.25,-3.087,A,7,40,BCC0099053,DRUG,no
MRMTRP23,12317,H11,2.5,18.039,-3.096,H,11,23,BCC0113645,DRUG,no
MRMTRP37,12334,G15,2.5,3.461,-3.207,G,15,37,BCC0040709,DRUG,no
MRMTRP1uM02,12385,N18,2.5,-1.68,-3.246,N,18,2,Pimozide,DRUG,no
MRMTRP34,12331,M09,2.5,-2.938,-3.255,M,9,34,BCC0113383,DRUG,no
MRMTRP1uM05,12391,J05,2.5,-21.367,-3.394,J,5,5,Cyclophosphamide,DRUG,no
MRMTRP10uM01,12384,F13,2.5,-64.219,-3.718,F,13,1,BIX-01294,DRUG,no
MRMTRP38,12335,D09,2.5,-64.805,-3.723,D,9,38,BCC0080410,DRUG,no
MRMTRP29,12322,J07,2.5,-91,-3.921,J,7,29,BCC0096888,DRUG,no
MRMTRP1uM05,12391,P11,2.5,-140.695,-4.297,P,11,5,Pravastatin,DRUG,no
MRMTRP10uM05,12392,P11,2.5,-150.336,-4.37,P,11,5,Pravastatin,DRUG,no
MRMTRP10uM04,12390,G13,2.5,-170.297,-4.521,G,13,4,Beta-Escin,DRUG,no
MRMTRP10,12300,B23,2.5,-173.453,-4.545,B,23,10,BCC0034606,DRUG,no
MRMTRP33,12330,O05,2.5,-179.305,-4.589,O,5,33,BCC0066684,DRUG,no
MRMTRP10uM01,12384,H15,2.5,-191.336,-4.68,H,15,1,Trichostatin A,DRUG,no
MRMTRP10,12300,C12,2.5,-219.055,-4.89,C,12,10,BCC0035605,DRUG,no
MRMTRP08,12298,N10,2.5,-386.273,-6.154,N,10,8,BCC0040047,DRUG,no
MRMTRP06,12296,C09,2.5,-481.688,-6.876,C,9,6,BCC0030249,DRUG,no
MRMTRP08,12298,P19,2.5,-489.648,-6.936,P,19,8,BCC0061174,DRUG,no
MRMTRP10uM05,12392,A06,2.5,-541.359,-7.327,A,6,5,Tridihexethyl chloride,DRUG,no
MRMTRP1uM05,12391,L24,3,425.758,-0.013,L,24,5,Irbesartan,DRUG,no
MRMTRP25,12318,P07,3,371.984,-0.42,P,7,25,BCC0040666,DRUG,no
MRMTRP14,12397,L16,3,351.234,-0.576,L,16,14,BCC0042786,DRUG,no
MRMTRP10uM02,12386,M22,3,267.141,-1.212,M,22,2,Dihydroergotamine tartrate,DRUG,no
MRMTRP10uM05,12392,P22,3,225.031,-1.531,P,22,5,Cefprozil,DRUG,no
MRMTRP31,12328,J05,3,210.313,-1.642,J,5,31,BCC0048068,DRUG,no
MRMTRP10uM05,12392,N21,3,193.859,-1.767,N,21,5,Fosinopril,DRUG,no
MRMTRP30,12327,I14,3,187.25,-1.817,I,14,30,BCC0039951,DRUG,no
MRMTRP10uM05,12392,N14,3,178.016,-1.886,N,14,5,Alosetron hydrochloride,DRUG,no
MRMTRP10uM02,12386,K14,3,161.914,-2.008,K,14,2,Astemizole,DRUG,no
MRMTRP10uM04,12390,E18,3,149.898,-2.099,E,18,4,Monensin sodium salt,DRUG,yes
MRMTRP10uM03,12388,N16,3,131.75,-2.236,N,16,3,Folic acid,DRUG,no
MRMTRP33,12330,N08,3,68.586,-2.714,N,8,33,BCC0084126,DRUG,no
MRMTRP1uM05,12391,P08,3,67.43,-2.723,P,8,5,Raltitrexed,DRUG,no
MRMTRP19,12313,J14,3,65.469,-2.738,J,14,19,BCC0103679,DRUG,no
MRMTRP1uM01,12383,O24,3,63.773,-2.75,O,24,1,Triciribine,DRUG,no
MRMTRP37,12334,L07,3,56.742,-2.804,L,7,37,BCC0103393,DRUG,no
MRMTRP13,12303,B16,3,52.383,-2.837,B,16,13,BCC0039284,DRUG,no
MRMTRP10uM02,12386,N18,3,47.477,-2.874,N,18,2,Pimozide,DRUG,no
MRMTRP37,12334,H11,3,35.453,-2.965,H,11,37,BCC0096796,DRUG,no
MRMTRP22,12316,G16,3,24.484,-3.048,G,16,22,BCC0031582,DRUG,no
MRMTRP19,12313,F15,3,-1.117,-3.241,F,15,19,BCC0103584,DRUG,no
MRMTRP10uM03,12388,D10,3,-29.602,-3.457,D,10,3,Dacarbazine,DRUG,no
MRMTRP10uM05,12392,P08,3,-31.195,-3.469,P,8,5,Raltitrexed,DRUG,no
MRMTRP23,12317,P07,3,-69.203,-3.756,P,7,23,BCC0035064,DRUG,no
MRMTRP31,12328,O19,3,-80.867,-3.844,O,19,31,BCC0049586,DRUG,no
MRMTRP08,12298,D13,3,-148.484,-4.356,D,13,8,BCC0093081,DRUG,no
MRMTRP15,12304,H15,3,-216.375,-4.869,H,15,15,BCC0033602,DRUG,no
MRMTRP42,12381,D21,3,-227.609,-4.954,D,21,42,BCC0052718,DRUG,no
MRMTRP08,12298,P22,3,-314.133,-5.609,P,22,8,BCC0074124,DRUG,no
MRMTRP14,12397,M08,3,-380.102,-6.107,M,8,14,BCC0038011,DRUG,no
MRMTRP1uM01,12383,C12,3,-457.102,-6.69,C,12,1,Staurosporine,DRUG,yes
MRMTRP13,12303,O05,3,-830.664,-9.515,O,5,13,BCC0036298,DRUG,no
MRMTRP25,12318,P04,3.5,618.719,1.447,P,4,25,PAC,EtBr,no
MRMTRP14,12397,J15,3.5,400.328,-0.205,J,15,14,BCC0029727,DRUG,no
MRMTRP32,12329,J22,3.5,326.039,-0.767,J,22,32,BCC0066049,DRUG,no
MRMTRP23,12317,I24,3.5,290.32,-1.037,I,24,23,BCC0031426,DRUG,no
MRMTRP10uM02,12386,J14,3.5,254.477,-1.308,J,14,2,Perhexiline maleate,DRUG,no
MRMTRP29,12322,D24,3.5,214.406,-1.611,D,24,29,BCC0030404,DRUG,no
